المنطقة,وصف الخطر,المشروع المتأثر,فئة الخطر,الاحتمالية,التأثير,خطة الاستجابة,المسؤول,الحالة,ملاحظات
منطقة جازان,تأخر الموافقات الحكومية والتراخيص,منطقة جازان,إداري/قانوني,2,5,مراسلة رسمية مستعجلة وتفعيل قناة التصعيد مع الإدارة العليا,مدير المشروع,🔴 مفتوح,متكرر في مشاريع المنطقة
منطقة جازان,نقص الكوادر التقنية المؤهلة,المنطقة الشرقية,موارد بشرية,3,4,إعارة مهندسين من مشاريع أخرى + إطلاق إجراء التوظيف الطارئ,مدير الموارد البشرية,🟡 قيد المعالجة,
منطقة جازان,صعوبة الوصول الميداني - ظروف مناخية,الحدود الشمالية,بيئي/لوجستي,4,3,جدولة بديلة للزيارات + تجهيز عتاد ميداني مناسب,قائد الفريق الميداني,🟡 قيد المعالجة,موسمي: أكتوبر/فبراير
منطقة جازان,تجاوز الميزانية المخصصة للمشروع,الثلاثة مشاريع,مالي,3,5,مراجعة بنود الإنفاق شهرياً + احتياطي 10% من الميزانية,المدير المالي,🟢 تحت السيطرة,
منطقة جازان,تأخر توريد المواد والمعدات,منطقة جازان,لوجستي,3,4,تنويع قائمة الموردين + عقود إطار مسبقة,مدير المشتريات,🟡 قيد المعالجة,
منطقة جازان,تغيير في نطاق العمل (Scope Creep),المنطقة الشرقية,إدارة مشاريع,2,4,توثيق صارم لطلبات التغيير + لجنة مراجعة التغييرات,مكتب إدارة المشاريع,🟢 تحت السيطرة,
منطقة جازان,ضعف التنسيق بين الفرق الميدانية,الحدود الشمالية,تشغيلي,2,3,اجتماعات تنسيق أسبوعية + منصة تواصل موحدة,مشرف التنسيق,🟢 تحت السيطرة,
منطقة جازان,فقدان بيانات التقارير وعدم توثيقها,الثلاثة مشاريع,تقني,2,4,نسخ احتياطية يومية + نظام إدارة وثائق مركزي,مدير تقنية المعلومات,🟢 تحت السيطرة,
منطقة جازان,معارضة أصحاب المصلحة المحليين,الحدود الشمالية,مجتمعي,2,3,خطة تواصل استباقية + جلسات إشراك المجتمع,مدير شؤون المجتمع,🟡 قيد المعالجة,
منطقة جازان,تضارب الأولويات بين المشاريع,الثلاثة مشاريع,إدارة مشاريع,3,3,لجنة توجيهية مشتركة + نظام تحديد الأولويات الموحد,البرنامج/PMO,🟡 قيد المعالجة,
المنطقة الشرقية,تأخر الموافقات الحكومية والتراخيص,منطقة جازان,إداري/قانوني,2,5,مراسلة رسمية مستعجلة وتفعيل قناة التصعيد مع الإدارة العليا,مدير المشروع,🔴 مفتوح,متكرر في مشاريع المنطقة
المنطقة الشرقية,نقص الكوادر التقنية المؤهلة,المنطقة الشرقية,موارد بشرية,3,4,إعارة مهندسين من مشاريع أخرى + إطلاق إجراء التوظيف الطارئ,مدير الموارد البشرية,🟡 قيد المعالجة,
المنطقة الشرقية,صعوبة الوصول الميداني - ظروف مناخية,الحدود الشمالية,بيئي/لوجستي,4,3,جدولة بديلة للزيارات + تجهيز عتاد ميداني مناسب,قائد الفريق الميداني,🟡 قيد المعالجة,موسمي: أكتوبر/فبراير
المنطقة الشرقية,تجاوز الميزانية المخصصة للمشروع,الثلاثة مشاريع,مالي,3,5,مراجعة بنود الإنفاق شهرياً + احتياطي 10% من الميزانية,المدير المالي,🟢 تحت السيطرة,
المنطقة الشرقية,تأخر توريد المواد والمعدات,منطقة جازان,لوجستي,3,4,تنويع قائمة الموردين + عقود إطار مسبقة,مدير المشتريات,🟡 قيد المعالجة,
المنطقة الشرقية,تغيير في نطاق العمل (Scope Creep),المنطقة الشرقية,إدارة مشاريع,2,4,توثيق صارم لطلبات التغيير + لجنة مراجعة التغييرات,مكتب إدارة المشاريع,🟢 تحت السيطرة,
المنطقة الشرقية,ضعف التنسيق بين الفرق الميدانية,الحدود الشمالية,تشغيلي,2,3,اجتماعات تنسيق أسبوعية + منصة تواصل موحدة,مشرف التنسيق,🟢 تحت السيطرة,
المنطقة الشرقية,فقدان بيانات التقارير وعدم توثيقها,الثلاثة مشاريع,تقني,2,4,نسخ احتياطية يومية + نظام إدارة وثائق مركزي,مدير تقنية المعلومات,🟢 تحت السيطرة,
المنطقة الشرقية,معارضة أصحاب المصلحة المحليين,الحدود الشمالية,مجتمعي,2,3,خطة تواصل استباقية + جلسات إشراك المجتمع,مدير شؤون المجتمع,🟡 قيد المعالجة,
المنطقة الشرقية,تضارب الأولويات بين المشاريع,الثلاثة مشاريع,إدارة مشاريع,3,3,لجنة توجيهية مشتركة + نظام تحديد الأولويات الموحد,البرنامج/PMO,🟡 قيد المعالجة,
الحدود الشمالية,تأخر الموافقات الحكومية والتراخيص,منطقة جازان,إداري/قانوني,2,5,مراسلة رسمية مستعجلة وتفعيل قناة التصعيد مع الإدارة العليا,مدير المشروع,🔴 مفتوح,متكرر في مشاريع المنطقة
الحدود الشمالية,نقص الكوادر التقنية المؤهلة,المنطقة الشرقية,موارد بشرية,3,4,إعارة مهندسين من مشاريع أخرى + إطلاق إجراء التوظيف الطارئ,مدير الموارد البشرية,🟡 قيد المعالجة,
الحدود الشمالية,صعوبة الوصول الميداني - ظروف مناخية,الحدود الشمالية,بيئي/لوجستي,4,3,جدولة بديلة للزيارات + تجهيز عتاد ميداني مناسب,قائد الفريق الميداني,🟡 قيد المعالجة,موسمي: أكتوبر/فبراير
الحدود الشمالية,تجاوز الميزانية المخصصة للمشروع,الثلاثة مشاريع,مالي,3,5,مراجعة بنود الإنفاق شهرياً + احتياطي 10% من الميزانية,المدير المالي,🟢 تحت السيطرة,
الحدود الشمالية,تأخر توريد المواد والمعدات,منطقة جازان,لوجستي,3,4,تنويع قائمة الموردين + عقود إطار مسبقة,مدير المشتريات,🟡 قيد المعالجة,
الحدود الشمالية,تغيير في نطاق العمل (Scope Creep),المنطقة الشرقية,إدارة مشاريع,2,4,توثيق صارم لطلبات التغيير + لجنة مراجعة التغييرات,مكتب إدارة المشاريع,🟢 تحت السيطرة,
الحدود الشمالية,ضعف التنسيق بين الفرق الميدانية,الحدود الشمالية,تشغيلي,2,3,اجتماعات تنسيق أسبوعية + منصة تواصل موحدة,مشرف التنسيق,🟢 تحت السيطرة,
الحدود الشمالية,فقدان بيانات التقارير وعدم توثيقها,الثلاثة مشاريع,تقني,2,4,نسخ احتياطية يومية + نظام إدارة وثائق مركزي,مدير تقنية المعلومات,🟢 تحت السيطرة,
الحدود الشمالية,معارضة أصحاب المصلحة المحليين,الحدود الشمالية,مجتمعي,2,3,خطة تواصل استباقية + جلسات إشراك المجتمع,مدير شؤون المجتمع,🟡 قيد المعالجة,
الحدود الشمالية,تضارب الأولويات بين المشاريع,الثلاثة مشاريع,إدارة مشاريع,3,3,لجنة توجيهية مشتركة + نظام تحديد الأولويات الموحد,البرنامج/PMO,🟡 قيد المعالجة,
